title,platform,metascore,userscore,genre,date
Destiny 2: Beyond Light,PlayStation 5,77.0,59.0,action,2020-11-10
Gears 5,Xbox Series X,83.0,73.0,action,2020-11-10
Ori and the Will of the Wisps,Xbox Series X,92.0,70.8,action,2020-11-10
XIII (Remake),PlayStation 4,72.3,70.8,action,2020-11-10
XIII (Remake),Xbox One,72.3,70.8,action,2020-11-10
XIII (Remake),PC,72.3,70.8,action,2020-11-10
Fuser,PlayStation 4,81.0,72.0,action,2020-11-10
Fuser,Xbox One,81.0,70.8,action,2020-11-10
Destiny 2: Beyond Light,PC,73.0,70.8,action,2020-11-10
Destiny 2: Beyond Light,PlayStation 4,76.0,70.8,action,2020-11-10
Destiny 2: Beyond Light,Xbox One,73.0,70.8,action,2020-11-10
Bright Memory,Xbox Series X,55.0,70.8,action,2020-11-10
Ghostrunner,Switch,73.0,69.0,action,2020-11-10
Borderlands 3: Designer's Cut,PC,61.0,70.8,action,2020-11-10
Fuser,Switch,80.0,68.0,action,2020-11-09
Fuser,PC,74.0,67.0,action,2020-11-09
YesterMorrow,PC,71.0,70.8,action,2020-11-05
YesterMorrow,Xbox One,69.0,70.8,action,2020-11-05
YesterMorrow,Switch,72.3,70.8,action,2020-11-05
Umihara Kawase BaZooKa!,Switch,51.0,70.8,action,2020-10-30
Mad Rat Dead,Switch,79.0,70.8,action,2020-10-30
Mad Rat Dead,PlayStation 4,69.0,67.0,action,2020-10-30
Legends of Ethernal,Switch,61.0,70.8,action,2020-10-30
Wallachia: Reign of Dracula,Switch,68.0,70.8,action,2020-10-29
Crimzon Clover - World EXplosion,Switch,85.0,70.8,action,2020-10-29
Part Time UFO,Switch,78.0,70.8,action,2020-10-28
No More Heroes 2: Desperate Struggle,Switch,82.0,70.8,action,2020-10-28
No More Heroes,Switch,82.0,70.8,action,2020-10-28
The Last Blade: Beyond the Destiny,Switch,68.0,70.8,action,2020-10-28
Until You Fall,PC,87.0,70.8,action,2020-10-27
Ghostrunner,PC,81.0,70.8,action,2020-10-27
Ghostrunner,Xbox One,76.0,70.8,action,2020-10-27
Ghostrunner,PlayStation 4,76.0,73.0,action,2020-10-27
Oddworld: Abe's Oddysee - New 'n' Tasty,Switch,77.0,70.8,action,2020-10-27
Cobra Kai: The Karate Kid Saga Continues,PlayStation 4,67.0,67.0,action,2020-10-27
Cobra Kai: The Karate Kid Saga Continues,Xbox One,60.0,61.0,action,2020-10-27
Cobra Kai: The Karate Kid Saga Continues,Switch,63.0,70.8,action,2020-10-27
Pumpkin Jack,PC,73.0,70.8,action,2020-10-23
Pumpkin Jack,Switch,73.0,70.8,action,2020-10-23
Pumpkin Jack,Xbox One,80.0,69.0,action,2020-10-23
Transformers: Battlegrounds,PlayStation 4,64.0,70.8,action,2020-10-23
Transformers: Battlegrounds,Xbox One,71.0,70.8,action,2020-10-23
Transformers: Battlegrounds,Switch,68.0,70.8,action,2020-10-23
Disc Room,PC,83.0,70.8,action,2020-10-22
Disc Room,Switch,81.0,70.8,action,2020-10-22
GONNER 2,Switch,75.0,70.8,action,2020-10-22
GONNER 2,Xbox One,69.0,70.8,action,2020-10-22
